Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/21/2020 12:00:00 AM,ARDC,4.9,8,13.875,$0.11,0.68 %
1/21/2020 12:00:00 AM,LOW,5,8,14,$0.55,0.45 %
1/21/2020 12:00:00 AM,MAIN,3.8,7,10.75,$0.20,0.46 %
1/21/2020 12:00:00 AM,MSM,3.3,2,0.3333333333333339,$5.75,7.37 %
1/21/2020 12:00:00 AM,TSU,4.9,9,15.88888888888889,$0.10,0.49 %
1/21/2020 12:00:00 AM,WST,5,8,14,$0.16,0.10 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/22/2020 12:00:00 AM,AGX,3.6,5,3.571428571428571,$0.25,0.57 %
1/22/2020 12:00:00 AM,BGH,3.9,7,10.875,$0.14,0.77 %
1/22/2020 12:00:00 AM,CL,4.3,6,5.285714285714285,$0.43,0.61 %
1/22/2020 12:00:00 AM,COO,4.3,6,5.285714285714285,$0.03,0.01 %
1/22/2020 12:00:00 AM,CVS,4.3,6,5.285714285714285,$0.50,0.66 %
1/22/2020 12:00:00 AM,FMN,3.3,5,3.2857142857142847,$0.05,0.35 %
1/22/2020 12:00:00 AM,LTC,3.5,6,4.5,$0.19,0.41 %
1/22/2020 12:00:00 AM,MXF,4,4,3,$0.25,1.67 %
1/22/2020 12:00:00 AM,SUNS,3.7,7,10.666666666666666,$0.12,0.66 %
Ex-Date,Symbol, Speed, Reliability, Grade, Dividend, Yield
1/23/2020 12:00:00 AM,BDGE,3.8,7,10.777777777777779,$0.24,0.73 %
1/23/2020 12:00:00 AM,COG,4.9,9,15.88888888888889,$0.10,0.59 %
1/23/2020 12:00:00 AM,CPTA,3.8,4,2.8,$0.08,0.93 %
1/23/2020 12:00:00 AM,COKE,4.1,8,13.11111111111111,$0.25,0.09 %
1/23/2020 12:00:00 AM,RQI,4.8,9,15.777777777777779,$0.08,0.56 %
1/23/2020 12:00:00 AM,CLB,3.6,7,10.555555555555555,$0.25,0.62 %
1/23/2020 12:00:00 AM,DEX,3.2,6,4.222222222222221,$0.09,0.86 %
1/23/2020 12:00:00 AM,DX,4.8,9,15.777777777777779,$0.15,0.83 %
1/23/2020 12:00:00 AM,EOI,3.3,5,3.2857142857142847,$0.09,0.56 %
1/23/2020 12:00:00 AM,EVT,3.3,5,3.2857142857142847,$0.14,0.55 %
1/23/2020 12:00:00 AM,ETJ,3.3,5,3.2857142857142847,$0.08,0.79 %
1/23/2020 12:00:00 AM,ETY,3.3,5,3.2857142857142847,$0.08,0.66 %
1/23/2020 12:00:00 AM,ENIC,0,0,0,$0.00,0.00 %
1/23/2020 12:00:00 AM,EFF,3.3,5,3.2857142857142847,$0.09,0.53 %
1/23/2020 12:00:00 AM,ETX,3.3,5,3.2857142857142847,$0.07,0.33 %
1/23/2020 12:00:00 AM,EOT,3.3,5,3.2857142857142847,$0.07,0.33 %
1/23/2020 12:00:00 AM,ETO,3.3,5,3.2857142857142847,$0.18,0.68 %
1/23/2020 12:00:00 AM,ETG,3.3,5,3.2857142857142847,$0.10,0.55 %
1/23/2020 12:00:00 AM,ETB,3.3,5,3.2857142857142847,$0.11,0.64 %
1/23/2020 12:00:00 AM,ETV,3.3,5,3.2857142857142847,$0.11,0.72 %
1/23/2020 12:00:00 AM,EXD,3.3,5,3.2857142857142847,$0.07,0.68 %
1/23/2020 12:00:00 AM,ETW,3.3,5,3.2857142857142847,$0.07,0.69 %
1/23/2020 12:00:00 AM,EXG,3.3,5,3.2857142857142847,$0.06,0.68 %
1/23/2020 12:00:00 AM,BUSE,3.3,6,4.333333333333334,$0.22,0.80 %
1/23/2020 12:00:00 AM,DFP,3.4,6,4.375,$0.14,0.52 %
1/23/2020 12:00:00 AM,FFC,3.4,6,4.375,$0.11,0.50 %
1/23/2020 12:00:00 AM,FLC,3.4,6,4.375,$0.12,0.50 %
1/23/2020 12:00:00 AM,PFD,3.4,6,4.375,$0.07,0.47 %
1/23/2020 12:00:00 AM,GLAD,5,3,3,$0.07,0.67 %
1/23/2020 12:00:00 AM,GOOD,5,3,3,$0.13,0.56 %
1/23/2020 12:00:00 AM,GAIN,5,1,1,$0.07,0.51 %
1/23/2020 12:00:00 AM,LAND,5,3,3,$0.04,0.33 %
1/23/2020 12:00:00 AM,HCAP,3.9,7,10.875,$0.08,0.89 %
1/23/2020 12:00:00 AM,HGLB,3.4,6,4.375,$0.08,0.90 %
1/23/2020 12:00:00 AM,HFRO,3.1,6,4.125,$0.08,0.63 %
1/23/2020 12:00:00 AM,KALU,3.9,7,10.88888888888889,$0.67,0.64 %
1/23/2020 12:00:00 AM,LKFN,3.9,7,10.88888888888889,$0.30,0.61 %
1/23/2020 12:00:00 AM,LEN,3.9,7,10.88888888888889,$0.12,0.20 %
1/23/2020 12:00:00 AM,LEN.B,3.9,7,10.88888888888889,$0.12,0.25 %
1/23/2020 12:00:00 AM,USA,4.1,8,13.11111111111111,$0.17,2.40 %
1/23/2020 12:00:00 AM,HIE,3.4,5,3.428571428571429,$0.12,1.00 %
1/23/2020 12:00:00 AM,NVT,0,0,0,$0.17,0.69 %
1/23/2020 12:00:00 AM,NHF,3.8,7,10.75,$0.20,1.15 %
1/23/2020 12:00:00 AM,OCCI,3.3,5,3.2857142857142847,$0.17,1.00 %
1/23/2020 12:00:00 AM,OVBC,4.1,8,13.11111111111111,$0.21,0.56 %
1/23/2020 12:00:00 AM,PBA,3.6,5,3.571428571428571,$0.16,0.42 %
1/23/2020 12:00:00 AM,PNR,4.4,8,13.444444444444445,$0.19,0.40 %
